R2_USB,21.90,27.30,90.00,5K1,CPF0201D7K68C1_0201
R3,29.84,9.80,0.00,0,CPF0201D7K68C1_0201
R4,28.12,24.10,180.00,0,ERA-1AEB3401C_0201
R5,10.90,5.69,270.00,10K,CPF0201D7K68C1_0201
R7,33.00,5.73,270.00,10K,CPF0201D7K68C1_0201
R8,21.80,5.67,270.00,10K,CPF0201D7K68C1_0201
R9,35.91,30.00,270.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,19.52,15.50,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,10.66,6.70,90.00,2.2,CPF0201D7K68C1_0201
SJ1,12.54,8.43,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,34.40,3.62,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,23.36,3.67,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,12.39,3.63,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,37.68,8.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,19.19,22.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,43.57,25.02,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,40.95,10.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,40.56,24.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,40.54,27.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,42.95,14.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,31.23,21.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,28.64,21.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,43.02,17.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,42.80,20.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,39.41,20.92,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,43.49,27.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,22.00,22.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,33.10,14.45,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,41.52,31.41,270.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,38.67,16.92,0.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,23.82,16.52,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
